"Step","vivid-sweep-6 - svd/update_layer0_stacked/condition_number","vivid-sweep-6 - svd/update_layer0_stacked/condition_number__MIN","vivid-sweep-6 - svd/update_layer0_stacked/condition_number__MAX","decent-sweep-5 - svd/update_layer0_stacked/condition_number","decent-sweep-5 - svd/update_layer0_stacked/condition_number__MIN","decent-sweep-5 - svd/update_layer0_stacked/condition_number__MAX","distinctive-sweep-4 - svd/update_layer0_stacked/condition_number","distinctive-sweep-4 - svd/update_layer0_stacked/condition_number__MIN","distinctive-sweep-4 - svd/update_layer0_stacked/condition_number__MAX","different-sweep-3 - svd/update_layer0_stacked/condition_number","different-sweep-3 - svd/update_layer0_stacked/condition_number__MIN","different-sweep-3 - svd/update_layer0_stacked/condition_number__MAX","valiant-sweep-2 - svd/update_layer0_stacked/condition_number","valiant-sweep-2 - svd/update_layer0_stacked/condition_number__MIN","valiant-sweep-2 - svd/update_layer0_stacked/condition_number__MAX","jolly-sweep-1 - svd/update_layer0_stacked/condition_number","jolly-sweep-1 - svd/update_layer0_stacked/condition_number__MIN","jolly-sweep-1 - svd/update_layer0_stacked/condition_number__MAX"
"6","13559.06852482886","13559.06852482886","13559.06852482886","18862.224932364497","18862.224932364497","18862.224932364497","20394.109846523672","20394.109846523672","20394.109846523672","19721.574049064926","19721.574049064926","19721.574049064926","14088.007840129656","14088.007840129656","14088.007840129656","15529.821007619827","15529.821007619827","15529.821007619827"
"13","8884.54348864797","8884.54348864797","8884.54348864797","12134.213979838665","12134.213979838665","12134.213979838665","11044.9359961833","11044.9359961833","11044.9359961833","10941.017059518275","10941.017059518275","10941.017059518275","8590.957821485028","8590.957821485028","8590.957821485028","8783.629940906934","8783.629940906934","8783.629940906934"
"20","3677.3882396008594","3677.3882396008594","3677.3882396008594","4012.3975437559416","4012.3975437559416","4012.3975437559416","3427.9594436261564","3427.9594436261564","3427.9594436261564","4068.5058441962346","4068.5058441962346","4068.5058441962346","2995.0103407205193","2995.0103407205193","2995.0103407205193","4219.646078332712","4219.646078332712","4219.646078332712"
"27","2711.4092950764866","2711.4092950764866","2711.4092950764866","2684.1877696766164","2684.1877696766164","2684.1877696766164","2378.483331581467","2378.483331581467","2378.483331581467","2171.8228094619108","2171.8228094619108","2171.8228094619108","2819.452538659133","2819.452538659133","2819.452538659133","2723.6504266908596","2723.6504266908596","2723.6504266908596"
"35","1961.9885773993838","1961.9885773993838","1961.9885773993838","2297.9188406080743","2297.9188406080743","2297.9188406080743","2161.5962648819527","2161.5962648819527","2161.5962648819527","2334.5188112907013","2334.5188112907013","2334.5188112907013","2053.3999767188548","2053.3999767188548","2053.3999767188548","2089.522430965861","2089.522430965861","2089.522430965861"
"42","1953.8700637135998","1953.8700637135998","1953.8700637135998","2484.0474562855597","2484.0474562855597","2484.0474562855597","2612.72662026313","2612.72662026313","2612.72662026313","2142.6535274721164","2142.6535274721164","2142.6535274721164","1926.019256453231","1926.019256453231","1926.019256453231","2766.9092812423646","2766.9092812423646","2766.9092812423646"
"49","1865.8704410862424","1865.8704410862424","1865.8704410862424","2848.351655360671","2848.351655360671","2848.351655360671","2789.063669375742","2789.063669375742","2789.063669375742","2310.720730919223","2310.720730919223","2310.720730919223","2138.921069895169","2138.921069895169","2138.921069895169","2100.29040609357","2100.29040609357","2100.29040609357"
"56","2019.9003446418449","2019.9003446418449","2019.9003446418449","2551.3170622554885","2551.3170622554885","2551.3170622554885","2498.232747654026","2498.232747654026","2498.232747654026","2086.0551648305554","2086.0551648305554","2086.0551648305554","1891.2441604760256","1891.2441604760256","1891.2441604760256","1936.6763630668772","1936.6763630668772","1936.6763630668772"
"64","1581.4090415566266","1581.4090415566266","1581.4090415566266","2601.3879378317733","2601.3879378317733","2601.3879378317733","3224.343791802227","3224.343791802227","3224.343791802227","2263.370615513605","2263.370615513605","2263.370615513605","1947.7936934878403","1947.7936934878403","1947.7936934878403","2241.8600083473866","2241.8600083473866","2241.8600083473866"
"71","1939.0064440504948","1939.0064440504948","1939.0064440504948","2376.9922740368843","2376.9922740368843","2376.9922740368843","2606.5975418477674","2606.5975418477674","2606.5975418477674","2141.552293974898","2141.552293974898","2141.552293974898","1906.1959781868734","1906.1959781868734","1906.1959781868734","1885.5872634816542","1885.5872634816542","1885.5872634816542"
"78","1596.8272365853836","1596.8272365853836","1596.8272365853836","2659.0378553709925","2659.0378553709925","2659.0378553709925","2021.2369664093549","2021.2369664093549","2021.2369664093549","1971.25089843231","1971.25089843231","1971.25089843231","1849.917630334755","1849.917630334755","1849.917630334755","1702.525513021338","1702.525513021338","1702.525513021338"
"85","1550.2670606670868","1550.2670606670868","1550.2670606670868","2359.8867993203758","2359.8867993203758","2359.8867993203758","2276.4757450427073","2276.4757450427073","2276.4757450427073","1734.5391084829982","1734.5391084829982","1734.5391084829982","1537.4219504526316","1537.4219504526316","1537.4219504526316","2147.240028320791","2147.240028320791","2147.240028320791"
"93","1661.9921125834376","1661.9921125834376","1661.9921125834376","2161.6192429956795","2161.6192429956795","2161.6192429956795","2129.446308174903","2129.446308174903","2129.446308174903","1638.7722229141818","1638.7722229141818","1638.7722229141818","1607.0862154147783","1607.0862154147783","1607.0862154147783","2040.0377456386907","2040.0377456386907","2040.0377456386907"
"100","1535.5483776883327","1535.5483776883327","1535.5483776883327","2380.160299125466","2380.160299125466","2380.160299125466","2792.6023862534425","2792.6023862534425","2792.6023862534425","1642.7384677285254","1642.7384677285254","1642.7384677285254","1407.14743062842","1407.14743062842","1407.14743062842","2185.536912985273","2185.536912985273","2185.536912985273"
"107","1289.8478507345294","1289.8478507345294","1289.8478507345294","1881.5478907859424","1881.5478907859424","1881.5478907859424","1831.9144798501616","1831.9144798501616","1831.9144798501616","1303.518292520148","1303.518292520148","1303.518292520148","1321.993087257367","1321.993087257367","1321.993087257367","1848.1215827059812","1848.1215827059812","1848.1215827059812"
"114","1321.3787179754165","1321.3787179754165","1321.3787179754165","2083.779788940925","2083.779788940925","2083.779788940925","2221.9504197005153","2221.9504197005153","2221.9504197005153","1299.0690736844008","1299.0690736844008","1299.0690736844008","1211.828045015488","1211.828045015488","1211.828045015488","1765.4096605622071","1765.4096605622071","1765.4096605622071"
"122","1186.5383036725816","1186.5383036725816","1186.5383036725816","1977.1119080820492","1977.1119080820492","1977.1119080820492","1892.679838949802","1892.679838949802","1892.679838949802","1344.6321202014112","1344.6321202014112","1344.6321202014112","1191.7645459145967","1191.7645459145967","1191.7645459145967","1825.4429929143962","1825.4429929143962","1825.4429929143962"
"129","1196.816329978157","1196.816329978157","1196.816329978157","1838.17791766789","1838.17791766789","1838.17791766789","2014.4196441450424","2014.4196441450424","2014.4196441450424","1257.820568457699","1257.820568457699","1257.820568457699","1189.5698944784172","1189.5698944784172","1189.5698944784172","1867.6034391680066","1867.6034391680066","1867.6034391680066"
"136","1123.5439824744226","1123.5439824744226","1123.5439824744226","2025.253960360668","2025.253960360668","2025.253960360668","2108.562265218695","2108.562265218695","2108.562265218695","1284.48792675615","1284.48792675615","1284.48792675615","1175.3784350707658","1175.3784350707658","1175.3784350707658","1879.4639940686905","1879.4639940686905","1879.4639940686905"
"143","1156.4120764578588","1156.4120764578588","1156.4120764578588","2045.279899244229","2045.279899244229","2045.279899244229","1878.9749950349594","1878.9749950349594","1878.9749950349594","1094.6707382860768","1094.6707382860768","1094.6707382860768","1154.5084643349169","1154.5084643349169","1154.5084643349169","1857.1006591608448","1857.1006591608448","1857.1006591608448"
