"Step","vivid-sweep-6 - svd/update_layer11_stacked/condition_number","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MIN","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MAX","decent-sweep-5 - svd/update_layer11_stacked/condition_number","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MIN","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MAX","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MIN","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MAX","different-sweep-3 - svd/update_layer11_stacked/condition_number","different-sweep-3 - svd/update_layer11_stacked/condition_number__MIN","different-sweep-3 - svd/update_layer11_stacked/condition_number__MAX","valiant-sweep-2 - svd/update_layer11_stacked/condition_number","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MIN","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MAX","jolly-sweep-1 - svd/update_layer11_stacked/condition_number","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MIN","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MAX"
"85","17762.4695664927","17762.4695664927","17762.4695664927","18696.871680788914","18696.871680788914","18696.871680788914","18815.232544999606","18815.232544999606","18815.232544999606","16627.194350368452","16627.194350368452","16627.194350368452","12677.97441068719","12677.97441068719","12677.97441068719","11231.707811740796","11231.707811740796","11231.707811740796"
"93","12593.543098955106","12593.543098955106","12593.543098955106","15816.421858541973","15816.421858541973","15816.421858541973","18193.976258099716","18193.976258099716","18193.976258099716","16670.673411654487","16670.673411654487","16670.673411654487","12303.716487466538","12303.716487466538","12303.716487466538","13124.914352252563","13124.914352252563","13124.914352252563"
"100","13960.035538466724","13960.035538466724","13960.035538466724","17143.863840946124","17143.863840946124","17143.863840946124","13778.4216057406","13778.4216057406","13778.4216057406","16460.83157124838","16460.83157124838","16460.83157124838","11501.550193327914","11501.550193327914","11501.550193327914","12258.857875072546","12258.857875072546","12258.857875072546"
"107","11703.410766207939","11703.410766207939","11703.410766207939","13530.55210674697","13530.55210674697","13530.55210674697","12227.089820002258","12227.089820002258","12227.089820002258","11393.855602304759","11393.855602304759","11393.855602304759","11411.627377791063","11411.627377791063","11411.627377791063","12249.400910175222","12249.400910175222","12249.400910175222"
"114","10677.341470248915","10677.341470248915","10677.341470248915","16487.5081120182","16487.5081120182","16487.5081120182","14889.958447434243","14889.958447434243","14889.958447434243","12318.224330925827","12318.224330925827","12318.224330925827","9620.817419811878","9620.817419811878","9620.817419811878","9130.737492792012","9130.737492792012","9130.737492792012"
"122","9463.399394540236","9463.399394540236","9463.399394540236","16836.322915759552","16836.322915759552","16836.322915759552","12527.571475697516","12527.571475697516","12527.571475697516","15008.580387511083","15008.580387511083","15008.580387511083","10676.310164161605","10676.310164161605","10676.310164161605","10785.912301211793","10785.912301211793","10785.912301211793"
"129","10806.158407008621","10806.158407008621","10806.158407008621","13782.579424160953","13782.579424160953","13782.579424160953","14913.665793616801","14913.665793616801","14913.665793616801","15196.1322455817","15196.1322455817","15196.1322455817","9330.414138810322","9330.414138810322","9330.414138810322","11863.417825207358","11863.417825207358","11863.417825207358"
"136","8939.928116685945","8939.928116685945","8939.928116685945","15793.529175607146","15793.529175607146","15793.529175607146","13012.044392688149","13012.044392688149","13012.044392688149","12707.599971978187","12707.599971978187","12707.599971978187","8946.213271750134","8946.213271750134","8946.213271750134","9603.963474506194","9603.963474506194","9603.963474506194"
"143","8882.325320268928","8882.325320268928","8882.325320268928","13214.87232353565","13214.87232353565","13214.87232353565","12607.698700959123","12607.698700959123","12607.698700959123","11485.57426118362","11485.57426118362","11485.57426118362","10380.840758646029","10380.840758646029","10380.840758646029","8765.63920515962","8765.63920515962","8765.63920515962"
"151","10822.405011499653","10822.405011499653","10822.405011499653","12753.989832819867","12753.989832819867","12753.989832819867","15148.63239626842","15148.63239626842","15148.63239626842","14551.047844684144","14551.047844684144","14551.047844684144","9812.888508410066","9812.888508410066","9812.888508410066","11438.518812601582","11438.518812601582","11438.518812601582"
"158","9589.067652365451","9589.067652365451","9589.067652365451","12759.33267578058","12759.33267578058","12759.33267578058","11455.136681008378","11455.136681008378","11455.136681008378","13280.590456801885","13280.590456801885","13280.590456801885","9736.957829985888","9736.957829985888","9736.957829985888","9541.352683833658","9541.352683833658","9541.352683833658"
"165","9554.581070256989","9554.581070256989","9554.581070256989","14840.689383718809","14840.689383718809","14840.689383718809","13206.090314663581","13206.090314663581","13206.090314663581","13755.555574510345","13755.555574510345","13755.555574510345","9672.360222725762","9672.360222725762","9672.360222725762","8976.062906683763","8976.062906683763","8976.062906683763"
