"Step","vivid-sweep-6 - svd/update_layer5_stacked/condition_number","vivid-sweep-6 - svd/update_layer5_stacked/condition_number__MIN","vivid-sweep-6 - svd/update_layer5_stacked/condition_number__MAX","decent-sweep-5 - svd/update_layer5_stacked/condition_number","decent-sweep-5 - svd/update_layer5_stacked/condition_number__MIN","decent-sweep-5 - svd/update_layer5_stacked/condition_number__MAX","distinctive-sweep-4 - svd/update_layer5_stacked/condition_number","distinctive-sweep-4 - svd/update_layer5_stacked/condition_number__MIN","distinctive-sweep-4 - svd/update_layer5_stacked/condition_number__MAX","different-sweep-3 - svd/update_layer5_stacked/condition_number","different-sweep-3 - svd/update_layer5_stacked/condition_number__MIN","different-sweep-3 - svd/update_layer5_stacked/condition_number__MAX","valiant-sweep-2 - svd/update_layer5_stacked/condition_number","valiant-sweep-2 - svd/update_layer5_stacked/condition_number__MIN","valiant-sweep-2 - svd/update_layer5_stacked/condition_number__MAX","jolly-sweep-1 - svd/update_layer5_stacked/condition_number","jolly-sweep-1 - svd/update_layer5_stacked/condition_number__MIN","jolly-sweep-1 - svd/update_layer5_stacked/condition_number__MAX"
"6","131409.74661274423","131409.74661274423","131409.74661274423","167577.4430151351","167577.4430151351","167577.4430151351","154782.04167546664","154782.04167546664","154782.04167546664","141609.31619652148","141609.31619652148","141609.31619652148","114266.74801607555","114266.74801607555","114266.74801607555","121993.08892004778","121993.08892004778","121993.08892004778"
"13","56840.32872693931","56840.32872693931","56840.32872693931","64257.065215197705","64257.065215197705","64257.065215197705","58938.8442957996","58938.8442957996","58938.8442957996","57513.910535629846","57513.910535629846","57513.910535629846","45728.89581934863","45728.89581934863","45728.89581934863","53528.09733350177","53528.09733350177","53528.09733350177"
"20","17289.24710359037","17289.24710359037","17289.24710359037","20038.61687886269","20038.61687886269","20038.61687886269","23098.112649730305","23098.112649730305","23098.112649730305","20610.32592934312","20610.32592934312","20610.32592934312","16434.309701747214","16434.309701747214","16434.309701747214","18985.785958220073","18985.785958220073","18985.785958220073"
"27","15468.838349858894","15468.838349858894","15468.838349858894","19581.764057171506","19581.764057171506","19581.764057171506","16109.463399651637","16109.463399651637","16109.463399651637","17398.579857825604","17398.579857825604","17398.579857825604","13198.079574098552","13198.079574098552","13198.079574098552","11162.030166003186","11162.030166003186","11162.030166003186"
"35","8072.848369646565","8072.848369646565","8072.848369646565","9430.114035559607","9430.114035559607","9430.114035559607","9673.003596597187","9673.003596597187","9673.003596597187","9597.588355418964","9597.588355418964","9597.588355418964","8093.3083406067435","8093.3083406067435","8093.3083406067435","8601.43183372981","8601.43183372981","8601.43183372981"
"42","5663.875701598451","5663.875701598451","5663.875701598451","6925.363444870556","6925.363444870556","6925.363444870556","6938.517195991929","6938.517195991929","6938.517195991929","10128.182349142975","10128.182349142975","10128.182349142975","6604.911596881506","6604.911596881506","6604.911596881506","8210.574813018164","8210.574813018164","8210.574813018164"
"49","4286.299927171553","4286.299927171553","4286.299927171553","5045.948091163569","5045.948091163569","5045.948091163569","5570.839134200699","5570.839134200699","5570.839134200699","7259.49449094595","7259.49449094595","7259.49449094595","5166.861036885339","5166.861036885339","5166.861036885339","4953.88565049356","4953.88565049356","4953.88565049356"
"56","4194.1560490539505","4194.1560490539505","4194.1560490539505","5082.806248098261","5082.806248098261","5082.806248098261","5824.170561812336","5824.170561812336","5824.170561812336","6470.675748880778","6470.675748880778","6470.675748880778","5089.27162728407","5089.27162728407","5089.27162728407","4942.757179261018","4942.757179261018","4942.757179261018"
"64","4868.1856039916","4868.1856039916","4868.1856039916","5113.504084648241","5113.504084648241","5113.504084648241","5170.621332812507","5170.621332812507","5170.621332812507","5433.9269866951745","5433.9269866951745","5433.9269866951745","5201.6909962822565","5201.6909962822565","5201.6909962822565","4730.498326663297","4730.498326663297","4730.498326663297"
"71","4278.250734199226","4278.250734199226","4278.250734199226","3367.4025916712785","3367.4025916712785","3367.4025916712785","4410.127635999635","4410.127635999635","4410.127635999635","4258.518143271418","4258.518143271418","4258.518143271418","4149.505553506686","4149.505553506686","4149.505553506686","3568.2687926012595","3568.2687926012595","3568.2687926012595"
"78","3885.0646964444923","3885.0646964444923","3885.0646964444923","4369.629587554031","4369.629587554031","4369.629587554031","3562.5386464068074","3562.5386464068074","3562.5386464068074","4470.241350555812","4470.241350555812","4470.241350555812","4578.855391469191","4578.855391469191","4578.855391469191","2577.7284773731035","2577.7284773731035","2577.7284773731035"
"85","3605.1059010118006","3605.1059010118006","3605.1059010118006","2722.1374830852665","2722.1374830852665","2722.1374830852665","4759.382410500563","4759.382410500563","4759.382410500563","3908.2581473152118","3908.2581473152118","3908.2581473152118","4224.925470292482","4224.925470292482","4224.925470292482","2712.1161352338936","2712.1161352338936","2712.1161352338936"
"93","3774.451659886842","3774.451659886842","3774.451659886842","3689.5807266493125","3689.5807266493125","3689.5807266493125","3983.4503937047457","3983.4503937047457","3983.4503937047457","3974.943171019733","3974.943171019733","3974.943171019733","3638.444746043522","3638.444746043522","3638.444746043522","3577.2747871449806","3577.2747871449806","3577.2747871449806"
"100","3682.644721584362","3682.644721584362","3682.644721584362","3420.061471449159","3420.061471449159","3420.061471449159","4208.581974988988","4208.581974988988","4208.581974988988","3976.5232679731203","3976.5232679731203","3976.5232679731203","3419.0548787964954","3419.0548787964954","3419.0548787964954","3853.78393453907","3853.78393453907","3853.78393453907"
"107","3330.2878093092118","3330.2878093092118","3330.2878093092118","3082.8138187438594","3082.8138187438594","3082.8138187438594","2937.454047834283","2937.454047834283","2937.454047834283","2549.125050292172","2549.125050292172","2549.125050292172","3472.692476886714","3472.692476886714","3472.692476886714","2783.7634144096623","2783.7634144096623","2783.7634144096623"
"114","4034.8602752213455","4034.8602752213455","4034.8602752213455","2969.758126344173","2969.758126344173","2969.758126344173","3871.460145046858","3871.460145046858","3871.460145046858","3923.929841897985","3923.929841897985","3923.929841897985","3468.7837649165076","3468.7837649165076","3468.7837649165076","2551.785092718551","2551.785092718551","2551.785092718551"
"122","3393.578122478528","3393.578122478528","3393.578122478528","3876.1178293044195","3876.1178293044195","3876.1178293044195","2866.031201897301","2866.031201897301","2866.031201897301","3779.3618375630645","3779.3618375630645","3779.3618375630645","3324.6268735356625","3324.6268735356625","3324.6268735356625","2908.0473932269338","2908.0473932269338","2908.0473932269338"
"129","3474.167914462289","3474.167914462289","3474.167914462289","3261.9960903668207","3261.9960903668207","3261.9960903668207","3525.328320475723","3525.328320475723","3525.328320475723","3754.323263743152","3754.323263743152","3754.323263743152","3986.2939584469163","3986.2939584469163","3986.2939584469163","3032.1363879898427","3032.1363879898427","3032.1363879898427"
"136","3715.0773324464085","3715.0773324464085","3715.0773324464085","3235.8083981406057","3235.8083981406057","3235.8083981406057","3055.1133372516965","3055.1133372516965","3055.1133372516965","2945.9704946275347","2945.9704946275347","2945.9704946275347","3687.682340614219","3687.682340614219","3687.682340614219","2858.9187647107033","2858.9187647107033","2858.9187647107033"
"143","3303.1228965737314","3303.1228965737314","3303.1228965737314","3475.150660811572","3475.150660811572","3475.150660811572","3001.482591992543","3001.482591992543","3001.482591992543","3457.902201240105","3457.902201240105","3457.902201240105","3693.21309566611","3693.21309566611","3693.21309566611","2516.878461674609","2516.878461674609","2516.878461674609"
