svd/layer11_v/sigma_min,svd/update_layer11_k/sigma_min,ortho/layer0_q/err_normalized,svd/update_layer11_q/effective_rank,svd/update_layer5_k/condition_number,svd/update_layer11_stacked/condition_number,svd/update_layer0_v/effective_rank,svd/layer5_v/sigma_max,attn/layer5/entropy/p05,svd/layer0_v/sigma_max,svd/layer0_q/spectral_gap,svd/layer5_q/sigma_max,svd/layer11_q/condition_number,svd/update_layer11_q/sigma_max,svd/layer11_q/sigma_max,svd/update_layer5_v/spectral_gap,weights/layer5_attn_norm,svd/layer11_k/effective_rank,svd/update_layer11_k/sigma_max,weights/layer0_attn_norm,logits/layer5/max_p95,svd/layer0_v/sigma_min,svd/update_layer11_q/sigma_min,svd/layer5_v/effective_rank,svd/update_layer0_q/effective_rank,svd/update_layer5_stacked/spectral_gap,logits/layer0/max_p95,svd/update_layer0_stacked/sigma_max,train/loss,svd/update_layer11_q/condition_number,svd/layer5_v/spectral_gap,svd/update_layer11_stacked/effective_rank,ortho/layer11_v/err,svd/layer11_k/spectral_gap,train/total_time_seconds,svd/update_layer11_stacked/spectral_gap,logits/layer5/std,svd/update_layer5_v/sigma_max,ortho/layer11_v/err_normalized,weights/layer11_attn_norm,qkv/layer11/k_norm/mean,logits/layer11/mean,svd/layer11_q/spectral_gap,svd/update_layer11_v/condition_number,svd/layer0_k/sigma_min,svd/layer11_q/sigma_min,train/tokens_per_sec,qkv/layer5/q_norm/mean,pe/time_ms,svd/update_layer5_q/effective_rank,svd/update_layer11_v/spectral_gap,svd/layer11_v/spectral_gap,qkv/layer5/k_norm/mean,ortho/layer11_q/err,attn/layer0/entropy/p95,ortho/layer5_k/err_normalized,svd/layer11_k/condition_number,svd/layer5_k/sigma_max,svd/layer0_q/sigma_max,ortho/layer5_q/err_normalized,svd/update_layer5_q/sigma_min,val/ppl,qkv/layer11/v_norm/mean,svd/layer5_v/condition_number,attn/layer11/entropy/mean,svd/layer11_k/sigma_max,train/grad_norm,svd/update_layer5_stacked/effective_rank,svd/layer0_k/spectral_gap,svd/update_layer0_k/spectral_gap,svd/update_layer5_q/condition_number,svd/layer0_v/effective_rank,svd/update_layer5_k/spectral_gap,logits/layer11/max_p95,svd/update_layer11_v/sigma_max,svd/update_layer0_v/sigma_min,svd/layer0_q/effective_rank,svd/update_layer0_q/sigma_min,svd/layer0_v/spectral_gap,pe/ortho_err_after,weights/layer5_mlp_norm,svd/total_time_ms,attn/layer0/maxA/frac>0.95,svd/layer5_q/effective_rank,svd/layer5_k/sigma_min,svd/layer11_v/effective_rank,svd/update_layer0_v/condition_number,svd/update_layer11_v/effective_rank,svd/update_layer11_k/spectral_gap,svd/update_layer5_k/effective_rank,ortho/layer0_v/err_normalized,ortho/layer11_k/err_normalized,attn/layer11/maxA/frac>0.95,ortho/layer11_q/err_normalized,svd/update_layer0_q/spectral_gap,attn/layer11/entropy/p95,svd/layer5_q/sigma_min,svd/update_layer5_stacked/sigma_min,svd/update_layer5_q/spectral_gap,svd/update_layer0_k/effective_rank,svd/update_layer0_k/condition_number,attn/layer0/entropy/mean,logits/layer11/std,svd/update_layer0_stacked/condition_number,weights/layer0_mlp_norm,ortho/layer5_k/err,svd/update_layer0_stacked/spectral_gap,svd/layer11_k/sigma_min,_runtime,svd/update_layer5_q/sigma_max,svd/layer5_q/spectral_gap,train/lr_0,svd/update_layer11_stacked/sigma_max,svd/update_layer11_k/effective_rank,svd/update_layer5_v/effective_rank,svd/update_layer5_stacked/sigma_max,svd/update_layer0_v/sigma_max,svd/update_layer0_stacked/effective_rank,train/step,svd/update_layer11_q/spectral_gap,svd/update_layer5_v/condition_number,svd/layer0_q/condition_number,svd/update_layer11_k/condition_number,qkv/layer0/k_norm/mean,ortho/layer5_v/err_normalized,train/step_time_ms,svd/layer11_v/sigma_max,svd/update_layer11_stacked/sigma_min,svd/layer0_v/condition_number,logits/layer5/mean,svd/update_layer0_v/spectral_gap,qkv/layer0/v_norm/mean,ortho/layer0_v/err,svd/update_layer0_k/sigma_min,svd/update_layer5_v/sigma_min,svd/layer5_k/condition_number,svd/layer5_v/sigma_min,qkv/layer11/q_norm/mean,ortho/layer5_v/err,ortho/layer5_q/err,ortho/layer0_k/err_normalized,svd/layer5_k/effective_rank,qkv/layer5/v_norm/mean,weights/layer11_mlp_norm,ortho/layer11_k/err,_step,qkv/layer0/q_norm/mean,logits/layer0/mean,svd/layer11_q/effective_rank,svd/update_layer0_k/sigma_max,svd/update_layer5_k/sigma_min,logits/layer0/std,svd/update_layer0_q/condition_number,train/total_time_hours,train/lr,ortho/layer0_k/err,_timestamp,val/step,ortho/layer0_q/err,svd/layer0_k/sigma_max,attn/layer5/entropy/p95,svd/layer0_k/effective_rank,train/naninf_flag,svd/layer11_v/condition_number,svd/update_layer0_stacked/sigma_min,svd/update_layer5_k/sigma_max,svd/layer5_k/spectral_gap,svd/layer0_k/condition_number,svd/layer0_q/sigma_min,svd/update_layer0_q/sigma_max,svd/update_layer11_v/sigma_min,attn/layer11/entropy/p05,val/loss,attn/layer5/maxA/frac>0.95,svd/update_layer5_stacked/condition_number,attn/layer0/entropy/p05,attn/layer5/entropy/mean,pe/ortho_err_before,svd/layer5_q/condition_number,run_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.734762668609619,,,,,,,,,,,,,,,,,,92208.93693285709,,,,,,,,,,,,,,,,,,,,1.8508166074752808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.726083712,,,0.01,,,,,,,1440.0,,,,,,,5685.8696937561035,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,0.01,,1763452937.111896,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.722038745880127,,,,,,,,,,,,,,,,,,92281.15750955472,,,,,,,,,,,,,,,,,,,,1.1674436330795288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.561004804,,,0.01,,,,,,,1600.0,,,,,,,5681.419849395752,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,0.01,,1763452993.9465456,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,3.898991346359253,,,,,,,,27.56955337524414,,,28.315519332885742,0.5333860516548157,,,,,,2.7672481536865234,,,,,,,,,,0.3386324942111969,,,27.197595596313477,0.5503413081169128,-0.08133497089147568,,,,,,0.5524224042892456,0.7448434829711914,,,,0.5558109283447266,,5.942397117614746,,,,,,,,0.5987178087234497,,5.928936958312988,,,,,,,,,0.2763563394546509,,,,,,21.4,35.07493209838867,,0.0010325114708393812,,,,,,,,,,0.0009765625,,,6.873758316040039,,,,,,4.867851257324219,0.21666648983955383,,39.97677993774414,,,,583.439080866,,,,,,,,,,,,,,,0.5830031633377075,,,,,,-0.016123706474900246,,0.591998815536499,,,,,,0.5486520528793335,,,,,0.6121680736541748,33.36162185668945,,12,0.5935742855072021,-0.7179520726203918,,,,2.0210025310516357,,,,,1763452994.8245716,,,,6.839241027832031,,,,,,,,,,,3.9432454109191895,,0.0009765625,,3.4124491214752197,5.888190269470215,27.75,,pgavu9tw
0.0001811188121791929,2.8830890452802294e-10,0.02719015379746755,2.1109278202056885,9411678.544237237,204178.9791817699,6.954868793487549,1.8446601629257202,3.898991346359253,1.371017575263977,1.014866828918457,1.1193245649337769,600.1264419891838,0.0015895490068942308,1.0930185317993164,3.2963151931762695,27.56955337524414,325.1795959472656,0.0013208123855292797,28.315519332885742,0.5315831303596497,0.00019701644487213343,1.3036663762400202e-11,210.24578857421875,7.028871059417725,3.289902448654175,2.763306140899658,0.22155846655368805,,14062242.762537798,1.0144567489624023,2.282048225402832,21.754398345947266,1.0159515142440796,,5.947576999664307,0.3386324942111969,0.02920232154428959,0.028326039512952168,27.197595596313477,0.5503413081169128,-0.08133497089147568,1.0036165714263916,15868039.825894566,0.0002001254033530131,0.0018213136354461312,,0.5524224042892456,,3.7377421855926514,5.958859443664551,1.0115422010421753,0.5558109283447266,21.097719192504883,5.942397117614746,0.027344651520252228,2489.9765019489505,1.1250776052474976,1.4110392332077026,0.027399266759554546,1.8373937787918848e-11,,0.5987178087234497,3336.560068880382,5.928936958312988,1.1034950017929077,,3.7058029174804688,1.071023941040039,1.235197901725769,22764701.93584833,278.5867614746094,1.9827606678009033,0.27678394317626953,0.04500303789973259,2.803956355990067e-08,271.0467224121094,3.169678208791993e-08,1.0308493375778198,,35.07493209838867,1062.894344329834,0.0010325114708393812,321.68603515625,0.00031982120708562434,208.30908203125,5501493.426759698,2.236300230026245,3.6769795417785645,4.713118076324463,0.02707133690516154,0.027429794271787006,0.0009765625,0.0274709885319074,1.1004533767700195,6.873758316040039,0.000564704998396337,6.410963919734058e-07,3.900634765625,6.520452976226807,1297546.435822807,4.867851257324219,0.21666648983955383,8590.957821485028,39.97677993774414,21.00069236755371,1.1106511354446411,0.00044317476567812264,585.380723319,0.0026947474107146263,1.016340970993042,,0.045027412474155426,2.965845823287964,3.495750665664673,0.029321203008294106,0.1548096239566803,9.463150978088379,,5.620192050933838,12468289.250726605,3665.972226932014,3401447.584970231,0.5830031633377075,0.028268982966740925,,1.8244940042495728,2.2042912917186186e-07,6958.895640738127,-0.016123706474900246,1.5982460975646973,0.591998815536499,20.790786743164062,1.1763154361688066e-07,2.242127372653613e-09,3517.831927771734,0.0005528627661988139,0.5486520528793335,21.71057891845703,21.04263687133789,0.027046310404936474,321.8208312988281,0.6121680736541748,33.36162185668945,21.066082000732422,13,0.5935742855072021,-0.7179520726203918,327.218994140625,0.15276214480400085,1.4216888777340841e-10,2.0210025310516357,4096565.6885082866,,,20.77156639099121,1763452996.7653909,,20.882038116455078,1.4025015830993652,6.839241027832031,269.34222412109375,,10073.459377033361,2.5789628125494346e-05,0.0022792157251387835,1.00727117061615,7008.110208849346,0.0003849016793537885,0.13025760650634766,2.736080473297875e-09,3.9432454109191895,,0.0009765625,45728.89581934863,3.4124491214752197,5.888190269470215,,1982.1400021222782,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.578797340393066,,,,,,,,,,,,,,,,,,92072.59009775,,,,,,,,,,,,,,,,,,,,0.8690342307090759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.230323897,,,0.01,,,,,,,1760.0,,,,,,,5694.289684295654,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,0.01,,1763453053.6159735,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.410331726074219,,,,,,,,,,,,,,,,,,92198.07725865606,,,,,,,,,,,,,,,,,,,,0.9279676675796509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.112360696,,,0.01,,,,,,,1920.0,,,,,,,5686.5394115448,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,0.01,,1763453110.497889,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.348147869110107,,,,,,,,,,,,,,,,,,92178.36318578468,,,,,,,,,,,,,,,,,,,,0.7600106000900269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.025171395,,,0.01,,,,,,,2080.0,,,,,,,5687.755584716797,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,0.01,,1763453167.4108465,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20985746383667,,,,,,,,,,,,,,,,,,92004.35991256373,,,,,,,,,,,,,,,,,,,,1.0054850578308105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.95777316,,,0.01,,,,,,,2240.0,,,,,,,5698.512554168701,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,0.01,,1763453224.343477,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.106037616729736,,,,,,,,,,,,,,,,,,92003.27056043207,,,,,,,,,,,,,,,,,,,,0.7319967746734619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.942370841,,,0.01,,,,,,,2400.0,,,,,,,5698.580026626587,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,0.01,,1763453281.3279305,,,,,,0.0,,,,,,,,,,,,,,,,,pgavu9tw
,,,,,,,,3.646510362625122,,,,,,,,28.893980026245117,,,32.361534118652344,0.7272706031799316,,,,,,3.2724497318267822,,,,,,,,,,0.4812546968460083,,,27.839725494384766,0.5492208003997803,-0.10334811359643936,,,,,,0.5604639053344727,0.7357120513916016,,,,0.5643985271453857,,5.506830215454102,,,,,,,,0.6384191513061523,,5.924799919128418,,,,,,,,,0.23781989514827728,,,,,,16.40625,39.46025466918945,,0.0015157064190134406,,,,,,,,,,0.0009765625,,,6.869515419006348,,,,,,4.0158586502075195,0.210716113448143,,46.34098815917969,,,,870.820934844,,,,,,,,,,,,,,,0.6660370230674744,,,,,,-0.011068214662373066,,0.6646459102630615,,,,,,0.5467130541801453,,,,,0.6731001734733582,35.8436164855957,,19,0.6838046312332153,-1.6864184141159058,,,,3.340564727783203,,,,,1763453282.206306,,,,6.807699203491211,,,,,,,,,,,3.936558723449707,,0.0010223388671875,,1.8046138286590576,5.781920909881592,27.75,,pgavu9tw
